filename,width,height,class,xmin,ymin,xmax,ymax
-488-_jpg.rf.d96e8e8179c776f692ff19132c3d8895.jpg,640,640,Normal,229,132,640,582
-488-_jpg.rf.d96e8e8179c776f692ff19132c3d8895.jpg,640,640,Normal,13,210,420,620
-166-_jpg.rf.da1bc4b9b1174425f8e8c981dd98b165.jpg,640,640,RCT,76,155,253,398
-367-_jpg.rf.dc45b2e0e7ef25c70f977d1d9881edec.jpg,640,640,Crown,0,309,116,468
-367-_jpg.rf.dc45b2e0e7ef25c70f977d1d9881edec.jpg,640,640,Overhang,33,132,334,380
-367-_jpg.rf.dc45b2e0e7ef25c70f977d1d9881edec.jpg,640,640,RCT,128,247,525,571
-367-_jpg.rf.dc45b2e0e7ef25c70f977d1d9881edec.jpg,640,640,Abcess,284,258,412,331
-367-_jpg.rf.dc45b2e0e7ef25c70f977d1d9881edec.jpg,640,640,Abcess,160,315,269,393
-333-_jpg.rf.dd8f169d2a2348e58adb626ae46ae0b2.jpg,640,640,Badly Decayed,237,145,486,389
-259-_jpg.rf.dddf6cc551df3cd382a16c949227d433.jpg,640,640,Badly Decayed,223,147,431,594
-259-_jpg.rf.dddf6cc551df3cd382a16c949227d433.jpg,640,640,Caries,338,94,640,469
-103-_jpg.rf.de19f72175de3c340432df33a1c23436.jpg,640,640,RCT,70,195,429,355
-103-_jpg.rf.de19f72175de3c340432df33a1c23436.jpg,640,640,RCT,40,375,407,527
-341-_jpg.rf.db57d65d45f96e6f8da42b9d8908b98d.jpg,640,640,RCT,185,142,378,314
-341-_jpg.rf.db57d65d45f96e6f8da42b9d8908b98d.jpg,640,640,Crown,0,192,254,512
-341-_jpg.rf.db57d65d45f96e6f8da42b9d8908b98d.jpg,640,640,Post,198,302,398,478
-462-_jpg.rf.dc2613770093d9b7a8a06d98289a0f07.jpg,640,640,Restoration,69,310,247,507
-462-_jpg.rf.dc2613770093d9b7a8a06d98289a0f07.jpg,640,640,RCT,285,221,550,585
-462-_jpg.rf.dc2613770093d9b7a8a06d98289a0f07.jpg,640,640,Normal,394,212,638,640
-462-_jpg.rf.dc2613770093d9b7a8a06d98289a0f07.jpg,640,640,Overhang,34,300,213,449
-121-_jpg.rf.da3e49a221f97d9439e469b64522ab10.jpg,640,640,Caries,58,252,239,534
-364-_jpg.rf.dbfbdfc11ff83bb9884969ae988c34d1.jpg,640,640,RCT,222,158,478,565
-400-_jpg.rf.da58b5117f66439e7fa10801352d5123.jpg,640,640,Restoration,10,108,245,282
-400-_jpg.rf.da58b5117f66439e7fa10801352d5123.jpg,640,640,Restoration,261,69,466,249
-177-_jpg.rf.dade55d13f2fc5ab6222eec61bb1dc76.jpg,640,640,Restoration,424,433,640,625
-177-_jpg.rf.dade55d13f2fc5ab6222eec61bb1dc76.jpg,640,640,Overhang,240,393,452,633
-177-_jpg.rf.dade55d13f2fc5ab6222eec61bb1dc76.jpg,640,640,RCT,92,169,446,616
-177-_jpg.rf.dade55d13f2fc5ab6222eec61bb1dc76.jpg,640,640,Badly Decayed,70,358,381,629
-458-_jpg.rf.dce1bc8848cd7defd2270ade71da1a61.jpg,640,640,RCT,0,4,518,454
-458-_jpg.rf.dce1bc8848cd7defd2270ade71da1a61.jpg,640,640,Caries,13,35,122,147
-432-_jpg.rf.db9ed532fbfd568255ee74405ecb1e33.jpg,640,640,Badly Decayed,224,421,593,640
-432-_jpg.rf.db9ed532fbfd568255ee74405ecb1e33.jpg,640,640,Normal,0,137,344,627
-436-_jpg.rf.d9def07ae6eacbf7aa1a0e76d06319a7.jpg,640,640,RCT,24,107,352,438
-436-_jpg.rf.d9def07ae6eacbf7aa1a0e76d06319a7.jpg,640,640,Restoration,343,392,630,569
-446-_jpg.rf.db2b9d12b5d5583fc1e4de4bedd04666.jpg,640,640,RCT,99,61,350,325
-446-_jpg.rf.db2b9d12b5d5583fc1e4de4bedd04666.jpg,640,640,Crown,0,354,246,607
-446-_jpg.rf.db2b9d12b5d5583fc1e4de4bedd04666.jpg,640,640,Normal,206,109,604,640
-186-_jpg.rf.de8890ed31ea47f0a8a3468f9295415d.jpg,640,640,RCT,303,0,602,451
-453-_jpg.rf.d9d192d3b036b27e7cc7dc0759d30373.jpg,640,640,Crown,135,1,616,368
-453-_jpg.rf.d9d192d3b036b27e7cc7dc0759d30373.jpg,640,640,RCT,97,166,452,574
-168-_jpg.rf.de6252165f08f5dcb803aab046ca081a.jpg,640,640,RCT,156,216,438,499
-168-_jpg.rf.de6252165f08f5dcb803aab046ca081a.jpg,640,640,Restoration,410,93,570,335
-398-_jpg.rf.db52cf885f111a467e10e31de0d455a8.jpg,640,640,Badly Decayed,70,55,379,381
-423-_jpg.rf.deec28f6c44e7c210f680ded12b13174.jpg,640,640,Caries,7,308,223,442
-423-_jpg.rf.deec28f6c44e7c210f680ded12b13174.jpg,640,640,Caries,50,108,202,221
-350-_jpg.rf.dc8de362aa199e038986fdf3cbfbd504.jpg,640,640,Caries,484,256,629,385
-350-_jpg.rf.dc8de362aa199e038986fdf3cbfbd504.jpg,640,640,RCT,75,16,580,458
-350-_jpg.rf.dc8de362aa199e038986fdf3cbfbd504.jpg,640,640,RCT,0,81,225,528
-536-_jpg.rf.df094bf88ec08a2aa0780426d3e730b4.jpg,640,640,Restoration,225,391,384,640
-536-_jpg.rf.df094bf88ec08a2aa0780426d3e730b4.jpg,640,640,Restoration,155,4,273,158
-536-_jpg.rf.df094bf88ec08a2aa0780426d3e730b4.jpg,640,640,Badly Decayed,155,88,430,397
-384-_jpg.rf.dc294661f7c52206eec1bff2fe238d73.jpg,640,640,Badly Decayed,319,143,604,587
-384-_jpg.rf.dc294661f7c52206eec1bff2fe238d73.jpg,640,640,Badly Decayed,159,142,336,598
96_jpg.rf.dc95ca9a9508e74ba13be767a0de3690.jpg,640,640,Crown,315,70,598,275
